"","filter_degree","mape_valuestest","ma_mape_values1"
"1",1,45.1909864023354,52.9771354155729
"2",2,45.2956768430828,52.9203982327565
"3",3,42.5911908033644,52.9078288751349
"4",4,42.6553176432914,52.8925345885447
"5",5,42.7180279607478,52.8711072081162
"6",6,42.780846046614,52.8582490377376
"7",7,42.8322213626196,52.8471963994239
"8",8,42.8810984168122,52.8272103761011
"9",9,42.9174022826563,52.8156537663588
"10",10,42.9578415958818,52.7875168448155
"11",11,42.9889637074253,52.7741311903066
"12",12,43.0145718297387,52.7491567777907
"13",13,43.0335827906239,52.7287811754225
"14",14,43.0515202322674,52.6976308733619
"15",15,43.061907208661,52.6619404637624
"16",16,43.0726005647204,52.6411431066214
"17",17,43.0360415507692,52.6096411548247
"18",18,42.9793949186164,52.5980697174878
"19",19,42.9227722592261,52.5798923404102
"20",20,42.8661969673049,52.5543700393993
"21",21,42.8096660619484,52.5429437878199
"22",22,42.7547814268465,52.5367086815937
"23",23,42.7083445343057,52.5035551611103
"24",24,42.6619639906001,52.5084777374578
"25",25,42.621150288174,52.5218171599749
"26",26,42.5849943962084,52.5094063758985
"27",27,42.5489033600446,52.495269937653
"28",28,42.5222355970944,52.4730307911194
"29",29,42.4965172628672,52.464956159281
"30",30,42.4766626160514,52.4475420095025
"31",31,42.4716436474577,52.4569469539984
"32",32,42.4666372770108,52.4388754719939
"33",33,42.4681990832054,52.4334134728741
"34",34,42.4736166319265,52.4223141959777
"35",35,42.4790222771459,52.40999574568
"36",36,42.5244637154096,52.4159113733293
"37",37,42.5716517166164,52.4145760232868
"38",38,42.6186510440893,52.4083720468497
"39",39,42.6654446812767,52.397350584236
"40",40,42.712023044024,52.3990426604464
"41",41,42.763906036877,52.3997945764289
"42",42,42.8205729477069,52.3909048414504
"43",43,42.8769110559547,52.3820680929047
"44",44,42.9408759541029,52.404807843599
"45",45,43.0070595438889,52.4153041665865
"46",46,43.072762731429,52.4220951723575
"47",47,43.1478076879837,52.4344614355092
"48",48,43.2229765132418,52.4096366434862
"49",49,43.297473073768,52.4036238180534
"50",50,43.371250073864,52.4430208532519
"51",51,43.4442600979461,52.4119315038956
"52",52,43.5180779938338,52.4167811602358
"53",53,43.6100292326269,52.4229121917781
"54",54,43.7007887564868,52.4143740914553
"55",55,43.7902283729337,52.4264086198171
"56",56,43.8983330296018,52.428830505241
"57",57,44.0046301840176,52.4614542809078
"58",58,44.1088765687108,52.4454993936782
"59",59,44.2181719716589,52.4168861760262
"60",60,44.3272295088714,52.4060100760158
"61",61,44.4333815457056,52.1951334028853
"62",62,44.5386035712795,52.3755672577615
"63",63,44.646861647603,52.355826252681
"64",64,44.7508997525049,52.3972115627816
"65",65,44.8502559068556,52.3736392756563
"66",66,44.9444041096571,52.4150746827108
"67",67,45.0327185921657,52.4790766033796
"68",68,45.1145050614967,52.53627990145
"69",69,45.1889355253061,52.5301576660445
"70",70,45.255059995881,52.504056846142
"71",71,45.3117700654504,52.5004210433487
"72",72,45.3624249932255,52.519461337545
"73",73,45.4019788576786,52.5276420819145
"74",74,45.4252474906794,52.2630324268138
"75",75,45.4298795843853,52.6715248540046
"76",76,45.4131451028647,52.8486848167806
"77",77,45.3718780815609,52.9562894090709
"78",78,45.3064704790709,53.1122788025294
"79",79,45.219351828338,53.1985914190664
"80",80,45.1003354328239,53.3051502044267
"81",81,44.9446188535695,53.4990898834196
"82",82,44.7466866681663,53.6831682071456
"83",83,44.5010863316607,53.8959450716135
"84",84,44.2234692830422,54.1643657227244
"85",85,43.9085856477861,54.4249630755329
"86",86,43.5867499506171,54.6683045584273
"87",87,43.2930460751665,55.0546551070408
"88",88,42.981543671414,55.5739109457614
"89",89,42.6976106126811,55.9907636226578
"90",90,42.4740587579919,56.4467050553077
"91",91,42.5303273468892,56.9481198624933
"92",92,42.8442963379837,57.7370985359858
"93",93,43.3178297911338,58.339039733483
"94",94,43.9214118219127,59.1124292815161
"95",95,44.8566283551819,59.7101438333738
"96",96,46.4381861912976,60.1389036114443
"97",97,48.868921013013,60.4733846622342
"98",98,52.3763009768094,60.5025850848741
"99",99,57.5018745656221,59.5238977355608
"100",100,61.389589859659,56.85433108151
