"","filter_degrees","mape_values","ma_mape_values"
"1",1,42.9413673904843,52.7246573264476
"2",2,42.9436799903405,52.7095554571764
"3",3,42.9476469495615,52.7229431391798
"4",4,42.946670212359,52.7164697752524
"5",5,42.9491031915316,52.7267350935231
"6",6,42.9524981222073,52.7226397420062
"7",7,42.9512306451128,52.7152238288038
"8",8,42.9559379254615,52.7282852181847
"9",9,42.9574076520544,52.7228073442777
"10",10,42.9593589816778,52.7111064131587
"11",11,42.9583776488276,52.6863330260293
"12",12,42.9615837267774,52.7175375217927
"13",13,42.9621485366476,52.7182357277339
"14",14,42.963691185116,52.7132926862101
"15",15,42.9626404865468,52.7168239556479
"16",16,42.963790082539,52.7097326667674
"17",17,42.962493851449,52.6307469733848
"18",18,42.9605963144865,52.7101942386434
"19",19,42.9649424105443,52.7095079723258
"20",20,42.9671288172035,52.7042746109217
"21",21,42.9732197698916,52.6315009829829
"22",22,42.9729345949919,52.6640733289006
"23",23,42.9729786060277,52.6927851521538
"24",24,42.9753163272069,52.6944417466302
"25",25,42.9749812252402,52.6894733429863
"26",26,42.9777493821143,52.70066552164
"27",27,42.9806536074274,52.6990028021777
"28",28,42.9792563512237,52.6767645568815
"29",29,42.9810124375241,52.6936071040769
"30",30,42.9846626683804,52.670101304719
"31",31,42.9857455874132,52.6898121026398
"32",32,42.9845217776882,52.6885136776068
"33",33,42.9867945401413,52.692841326548
"34",34,42.9877033731256,52.6560192569468
"35",35,42.9909856543627,52.6789339438549
"36",36,42.9941061039881,52.6870513348796
"37",37,42.9925769184066,52.6834684567609
"38",38,42.9933018306677,52.6808560953035
"39",39,42.9973567888734,52.6805530423275
"40",40,42.9956098874326,52.6850600449983
"41",41,42.9969159817859,52.6827343669327
"42",42,43.0002352843272,52.6814466649444
"43",43,42.9997970989731,52.6803824589411
"44",44,43.0017602671777,52.6701938767277
"45",45,43.0079827663279,52.6621278523632
"46",46,43.0076419768711,52.6730230570577
"47",47,43.0031722025002,53.0573448396043
"48",48,43.008146411659,52.6679560695211
"49",49,43.011940933477,52.6484813497923
"50",50,43.0071701289997,52.6632485459732
"51",51,43.0138248406763,52.65919166852
"52",52,43.0147595057433,52.6684379523154
"53",53,43.0124426120939,52.6588929097416
"54",54,43.0161883697324,52.6576222133241
"55",55,43.0151398294082,52.6573529617447
"56",56,43.0207201369811,52.6557550463199
"57",57,43.0201743692737,52.6544499037779
"58",58,43.0244150966048,52.6524907888632
"59",59,43.0243748322882,52.6508196170267
"60",60,43.0247518138164,52.6504170432382
"61",61,43.0287317778471,52.6500849290702
"62",62,43.0291452876684,52.6486822548176
"63",63,43.0304280213315,52.6468653676007
"64",64,43.0310496367391,52.6466259580711
"65",65,43.040297622263,52.5824258975612
"66",66,43.035340146483,52.6426319569396
"67",67,43.0348849944909,52.6436846198799
"68",68,43.034339234263,52.6399116057829
"69",69,43.0303605870267,52.6385801810043
"70",70,43.0373460731043,52.6370746903827
"71",71,43.0399704688774,52.6368148884036
"72",72,43.0400950054019,52.6332624334565
"73",73,43.0408419207809,52.6355240243427
"74",74,43.0457015669638,52.6352072628362
"75",75,43.0459901940568,52.6302175455926
"76",76,43.0445348704808,52.6338332342915
"77",77,43.0459830828794,52.6269564318374
"78",78,43.0511835453946,52.6325138935251
"79",79,43.0473050541685,52.609530902614
"80",80,43.0493120960729,52.3731820041016
"81",81,43.0509221592727,52.6198968126813
"82",82,43.0526139681395,52.6214203392124
"83",83,43.0555969651929,52.6134440088456
"84",84,43.0615638695795,52.6118878426999
"85",85,43.0590689103302,52.6152260645361
"86",86,43.060016180222,52.6058113009428
"87",87,43.0605662415881,52.6027468272772
"88",88,43.0620733842194,52.5886350071204
"89",89,43.0636478825927,52.5845294229783
"90",90,43.0615928996621,52.5837262103229
"91",91,43.065123954952,52.5808779080562
"92",92,43.0644470007123,52.5776477629762
"93",93,43.0704054222424,52.5766617292596
"94",94,43.0690492577491,52.5722469045561
"95",95,43.0715217011464,52.5686950334146
"96",96,43.0694802325758,52.5633767922434
"97",97,43.0714925123846,52.5595372732146
"98",98,43.0726056912322,52.5562535086157
"99",99,43.0717039199735,52.5853540027496
"100",100,43.0709613048522,52.5534879012668
"101",101,43.0741827157675,52.5496883163179
"102",102,43.0728383366019,52.5491353841439
"103",103,43.0770961214271,52.5475620818839
"104",104,43.076063994539,52.529104405326
"105",105,43.0777467806016,52.5373399483619
"106",106,43.0751342670814,52.5358542165172
"107",107,43.0771456084702,52.5326444872533
"108",108,43.0702688361757,52.5103509132257
"109",109,43.0634468161449,52.5191029165077
"110",110,43.0563742647629,52.5173793260793
"111",111,43.0492281501813,52.5162093980992
"112",112,43.0419168866926,52.5139803759783
"113",113,43.0345507877854,52.5008759255195
"114",114,43.02695071372,52.5097738006135
"115",115,43.0193582083684,52.5092750967454
"116",116,43.0115660497896,52.5061730003283
"117",117,43.003638488591,52.5040896545721
"118",118,42.9955274375953,52.504433915186
"119",119,42.9873566444158,52.4808783212489
"120",120,42.9789932214217,52.496498280574
"121",121,42.9704647660896,52.5193524919151
"122",122,42.9618158083451,52.4971397879146
"123",123,42.9529950052362,52.4903579979713
"124",124,42.9440031105088,52.4864772327583
"125",125,42.9348363984271,52.4824235090884
"126",126,42.9255064918311,52.480824013292
"127",127,42.9159938790034,52.4762883399009
"128",128,42.9062943625396,52.4714190184843
"129",129,42.8964005099803,52.4614293350264
"130",130,42.8863115588285,52.4654926257947
"131",131,42.8760231171644,52.4438547910691
"132",132,42.842508359643,52.4514170194843
